Voc,Jsc,FF,PCE,Cs,MA,FA,Pb,Sn,I,Br,BG,CBO,VBO,arch_nip,arch_pin,h_mobility,e_mobility,CBM,VBM,ETL_CBM,HTL_VBM,Reference
1.09,24.27,0.752,19.89,0.05,0.1425,0.8075,1,0,2.55,0.45,1.6,-0.55,0.18,1,0,0.000465,0.000992,-3.8,-5.4,-4.35,-5.22,10.1021/acsami.9b17386
1.21,14.98,0.814,14.78,1,0,0,1,0,2,1,1.91,-0.23,0.54,1,0,0.000465,0.00065,-3.74,-5.74,-3.97,-5.2,10.1016/j.nanoen.2019.104241
1.11,14.9,0.743,12.3,1,0,0,1,0,2,1,1.91,-0.47,0.54,1,0,0.000465,0.000992,-3.74,-5.74,-4.21,-5.2,10.1016/j.nanoen.2019.104241
1.083,20.92,0.7524,17.04,0,1,0,1,0,3,0,1.5,-0.27,0.2,1,0,0.000465,2.93E-05,-3.93,-5.4,-4.2,-5.2,10.1039/C8TA12206G
1.171,11.65,0.64,8.73,1,0,0,1,0,1,2,2.1,-0.33,0.53,1,0,0.000465,2.93E-05,-3.43,-5.53,-3.76,-5,10.1016/j.solener.2020.04.024
1.07,21.64,0.7396,17.21,0.05,0.1615,0.7885,1,0,2.49,0.51,1.61,-0.29,0.2,1,0,0.000465,0.000992,-3.79,-5.4,-4.08,-5.2,10.1016/j.jpowsour.2020.228443
0.55,19.4,0.67,7.2,0,0.25,0.75,0,1,3,0,1.36,-0.66,0.05,0,1,0.00033,8.00E-05,-3.84,-5.2,-4.5,-5.15,10.1002/anie.201808385 
1.12,21.68,0.7585,18.42,0.04,0.144,0.816,1,0,2.55,0.45,1.6,-0.4,0.2,1,0,0.000465,2.93E-05,-3.8,-5.4,-4.2,-5.2,10.1021/acssuschemeng.8b04281
1.06,20.2,0.813,17.3,0,1,0,1,0,3,0,1.5,-0.27,0.23,0,1,0.000351,0.0004,-3.93,-5.43,-4.2,-5.2,10.1002/adma.201500523
1.11,23.42,0.786,20.43,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.39,1,0,0.0012,2.93E-05,-4.05,-5.65,-4.2,-5.26,10.1038/ncomms16045
1.12,22.25,0.76,19.01,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.43,1,0,0.000465,2.93E-05,-4.05,-5.65,-4.2,-5.22,10.1039/C7TA01718A
1.13,21.7,0.78,19.03,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.41,1,0,0.00026,2.93E-05,-4.05,-5.65,-4.2,-5.24,10.1039/C7TA01718A
1.11,19.31,0.69,14.87,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.31,1,0,1.10E-05,2.93E-05,-4.05,-5.65,-4.2,-5.34,10.1039/C7TA01718A
1.07,19.6,0.763,16,0,1,0,1,0,3,0,1.5,-0.3,0.2,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.2,-5.2,10.1002/advs.201801170
1.08,22,0.775,18.4,0,1,0,1,0,1.8,1.2,1.55,-0.5,0.37,0,1,0.0012,8.00E-05,-4.07,-5.62,-4.57,-5.25,10.1126/sciadv.aav8925
1.18,15.1,0.733,13.1,0.2,0,0.8,1,0,1.8,1.2,1.82,-0.87,0.27,0,1,0.0012,8.00E-05,-3.7,-5.52,-4.57,-5.25,10.1126/sciadv.aav8925
1.08,22.53,0.769,18.73,0,0.15,0.85,1,0,2.55,0.45,1.57,-0.03,0.58,1,0,0.000465,2.93E-05,-4.23,-5.8,-4.26,-5.22,10.1007/s40843-018-9343-1
1.15,11.5,0.724,9.57,1,0,0,1,0,1,2,2.06,-0.31,0.51,1,0,0.000465,0.000992,-3.67,-5.73,-3.98,-5.22,10.1002/smll.202001535
1.1,25,0.803,22.1,0,0.05,0.95,1,0,2.85,0.15,1.5,-0.3,0.26,1,0,0.0012,2.93E-05,-3.9,-5.4,-4.2,-5.14,10.1126/science.aan2301
1.041,20.854,0.743,16.5,0,1,0,1,0,3,0,1.52,-0.09,0.28,1,0,0.000465,2.93E-05,-3.91,-5.43,-4,-5.15,10.1002/aenm.201600401
1.096,20.52,0.7,16.3,0,1,0,1,0,3,0,1.52,-0.09,0.22,1,0,0.000849,2.93E-05,-3.91,-5.43,-4,-5.21,10.1002/aenm.201600401
1.11,21.58,0.695,16.78,0.05,0.14,0.81,1,0,2.55,0.45,1.5,-0.4,0.16,1,0,0.000112,0.000992,-3.9,-5.4,-4.3,-5.24,10.1021/acsami.9b07859
1.13,22.34,0.727,18.45,0.05,0.14,0.81,1,0,2.55,0.45,1.5,-0.4,0.19,1,0,0.000132,0.000992,-3.9,-5.4,-4.3,-5.21,10.1021/acsami.9b07859
1.1,23.4,0.827,21.3,0,0.15,0.85,1,0,2.55,0.45,1.58,-0.3,0.44,1,0,4.10E-05,2.93E-05,-4,-5.58,-4.3,-5.14,10.1002/aenm.201801668
1.14,23.4,0.823,22,0,0.15,0.85,1,0,2.55,0.45,1.58,-0.3,0.06,1,0,2.20E-05,2.93E-05,-4,-5.58,-4.3,-5.52,10.1002/aenm.201801668
1.13,23.4,0.703,18.6,0,0.15,0.85,1,0,2.55,0.45,1.58,-0.3,-0.05,1,0,1.90E-05,2.93E-05,-4,-5.58,-4.3,-5.63,10.1002/aenm.201801668
1.18,22.55,0.78,20.76,0,0.15,0.85,1,0,2.55,0.45,1.59,0.2,0.89,1,0,0.0012,0.0004,-4.5,-6.09,-4.3,-5.2,10.1126/science.aap9282
1.07,23.1,0.778,19.15,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,-0.35,0.43,1,0,0.000465,0.000932,-4.05,-5.65,-4.4,-5.22,10.1002/adma.201906374
1.14,24.1,0.829,22.77,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,-0.35,0.43,1,0,0.000465,0.0173,-4.05,-5.65,-4.4,-5.22,10.1002/adma.201906374
0.94,21.1,0.725,14.4,0,1,0,1,0,3,0,1.5,-0.1,0.18,1,0,0.000465,2.93E-05,-3.9,-5.4,-4,-5.22,10.1039/c5ee01720c
1.06,22.9,0.696,16.89,0,1,0,1,0,3,0,1.55,-0.26,0.1,1,0,0.000465,2.93E-05,-3.75,-5.3,-4.01,-5.2,10.1039/c8ta12254g
1.04,22.4,0.667,15.58,0,1,0,1,0,3,0,1.55,-0.63,0.1,1,0,0.000465,0.000992,-3.75,-5.3,-4.38,-5.2,10.1039/c8ta12254g
1.1,20.67,0.649,14.72,0.05,0.95,0,1,0,2.1,0.9,1.71,-0.32,0.37,1,0,0.000465,2.93E-05,-3.88,-5.59,-4.2,-5.22,10.1002/smll.201906681
1.1,22.48,0.72,17.81,0.05,0.95,0,1,0,2.4,0.6,1.68,-0.3,0.36,1,0,0.000465,2.93E-05,-3.9,-5.58,-4.2,-5.22,10.1002/smll.201906681
1.14,22.26,0.71,17.81,0,1,0,1,0,3,0,1.5,-0.47,0.16,1,0,0.00182,0.000992,-3.93,-5.43,-4.4,-5.27,10.1002/cssc.201700678
1.13,22.45,0.74,18.59,0,1,0,1,0,3,0,1.5,-0.47,0.21,1,0,0.00308,0.000992,-3.93,-5.43,-4.4,-5.22,10.1002/cssc.201700678
1.12,22.6,0.8,20.2,0.13,0,0.87,1,0,2.7,0.3,1.6,-0.6,0.18,1,0,0.0005,0.000992,-3.8,-5.4,-4.4,-5.22,10.1002/adma.201803735
1.139,21.86,0.773,19.24,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,-0.05,0.3,1,0,0.000465,2.93E-05,-3.9,-5.5,-3.95,-5.2,10.1021/acsami.8b04776
1.16,21.42,0.77,19.13,0.05,0.14,0.81,1,0,2.55,0.45,1.64,-0.07,0.42,1,0,0.000465,2.93E-05,-4.13,-5.77,-4.2,-5.35,10.1021/acsami.8b10616
0.95,21.22,0.6369,12.91,0,1,0,1,0,3,0,1.5,-0.07,0.53,1,0,2.60E-05,2.93E-05,-3.93,-5.43,-4,-4.9,10.1021/acs.jpcc.7b04469
1.189,22.3,0.806,21.4,0.05,0.14,0.81,1,0,2.55,0.45,1.6,0,0.78,1,0,0.000465,2.93E-05,-4.4,-6,-4.4,-5.22,10.1126/science.aai9081
1.06,15.99,0.7712,13.09,1,0,0,1,0,2,1,1.92,-0.21,0.46,1,0,0.000465,0.000992,-3.77,-5.68,-3.98,-5.22,10.1021/acsphotonics.8b00783 
0.66,27.15,0.72,12.93,0,0.5,0.5,0.5,0.5,3,0,1.25,-0.35,0.2,0,1,0.00033,8.00E-05,-4.15,-5.4,-4.5,-5.2,10.1021/acs.nanolett.8b00701 
0.71,28.85,0.68,13.94,0,0.5,0.5,0.5,0.5,3,0,1.25,0.15,0.2,0,1,0.00033,0.0004,-4.15,-5.4,-4,-5.2,10.1021/acs.nanolett.8b00701 
1.13,23.56,0.714,19.11,0,0.15,0.85,1,0,2.55,0.45,1.65,0,0.43,1,0,0.000465,0.000559,-3.9,-5.65,-3.9,-5.22,10.1016/j.mtener.2019.03.005
1.13,23.2,0.7092,18.6,0,0.15,0.85,1,0,2.55,0.45,1.65,-0.03,0.43,1,0,0.000465,0.000351,-3.9,-5.65,-3.93,-5.22,10.1016/j.mtener.2019.03.005
1.11,22.97,0.704,17.98,0,0.15,0.85,1,0,2.55,0.45,1.65,-0.18,0.43,1,0,0.000465,0.000277,-3.9,-5.65,-4.08,-5.22,10.1016/j.mtener.2019.03.005
1.04,19.01,0.7,13.84,0,1,0,1,0,3,0,1.5,-0.31,0.06,1,0,0.000465,2.09E-05,-3.9,-5.3,-4.21,-5.24,10.1021/acsami.7b14926
1.02,22.4,0.74,16.91,0,1,0,1,0,3,0,1.5,-0.46,0.06,1,0,0.000465,7.25E-05,-3.9,-5.3,-4.36,-5.24,10.1021/acsami.7b14926
1.123,24.71,0.773,21.45,0.06,0,0.94,1,0,2.82,0.18,1.5,-0.2,0.28,1,0,0.000465,2.93E-05,-4,-5.5,-4.2,-5.22,10.1021/jacs.9b11546
1.101,24.44,0.754,20.3,0.05,0.06,0.89,1,0,2.82,0.18,1.54,-0.3,0.22,1,0,0.000465,2.93E-05,-3.9,-5.44,-4.2,-5.22,10.1021/jacs.9b11546
0.74,26.7,0.71,14.1,0.25,0,0.75,0.5,0.5,3,0,1.22,-0.62,0,0,1,0.00033,8.00E-05,-3.88,-5.1,-4.5,-5.1,10.1126/science.aaf9717
0.7,21.9,0.66,10.2,0,0,1,0.5,0.5,3,0,1.22,-0.47,0.15,0,1,0.00033,8.00E-05,-4.03,-5.25,-4.5,-5.1,10.1126/science.aaf9717
0.99,22.82,0.7334,16.6,0,1,0,1,0,3,0,1.5,-0.07,0.18,1,0,0.000204,2.93E-05,-3.93,-5.43,-4,-5.25,10.1021/acsenergylett.6b00432
1.06,22.79,0.7439,18.03,0,1,0,1,0,3,0,1.5,-0.07,0.21,1,0,0.000946,2.93E-05,-3.93,-5.43,-4,-5.22,10.1021/acsenergylett.6b00432
1.01,23.37,0.64,15.11,0,1,0,1,0,3,0,1.61,-0.1,0.16,1,0,0.000465,2.93E-05,-3.9,-5.51,-4,-5.35,10.1016/j.solmat.2019.03.040
1.12,22.8,0.728,18.6,0.06,0.1598,0.7802,1,0,2.49,0.51,1.55,0.08,0.79,1,0,0.000465,0.00065,-4.46,-6.01,-4.38,-5.22,10.1039/c7ta03331a
0.9,19.35,0.7448,12.9,0,1,0,1,0,3,0,1.5,-0.3,0.5,0,1,0.00033,0.0004,-3.9,-5.4,-4.2,-4.9,10.1002/adfm.201702613
0.97,19.79,0.7568,14.54,0,1,0,1,0,3,0,1.5,-0.3,-0.1,0,1,0.000337,0.0004,-3.9,-5.4,-4.2,-5.5,10.1002/adfm.201702613
1,22.37,0.7682,17.16,0,1,0,1,0,3,0,1.5,-0.3,-0.1,0,1,0.000494,0.0004,-3.9,-5.4,-4.2,-5.5,10.1002/adfm.201702613
1.04,22.32,0.8115,18.8,0,1,0,1,0,3,0,1.5,-0.3,-0.1,0,1,0.000499,0.0004,-3.9,-5.4,-4.2,-5.5,10.1002/adfm.201702613
1.04,22.07,0.6094,14.03,0,1,0,1,0,3,0,1.5,0,0.1,0,1,0.000351,0.00249,-3.9,-5.4,-3.9,-5.3,10.1016/j.synthmet.2022.117144
1.07,23.4,0.6859,17.03,0,1,0,1,0,3,0,1.5,-0.04,0.1,0,1,0.000351,0.00327,-3.9,-5.4,-3.94,-5.3,10.1016/j.synthmet.2022.117144
1.1,22.14,0.76,18.51,0,0.15,0.85,1,0,2.55,0.45,1.52,-0.09,0.22,1,0,4.10E-05,2.93E-05,-3.91,-5.43,-4,-5.21,10.1039/c9ta05121j
1.03,20.6,0.79,16.76,0,0.15,0.85,1,0,2.55,0.45,1.52,-0.09,0.25,1,0,9.08E-05,2.93E-05,-3.91,-5.43,-4,-5.18,10.1039/c9ta05121j
1.04,19.11,0.78,15.53,0,1,0,1,0,3,0,1.5,-0.3,0.4,0,1,0.00033,0.0004,-3.9,-5.4,-4.2,-5,10.1002/solr.202000289
1,19.69,0.8,15.68,0,1,0,1,0,3,0,1.5,0,0.4,0,1,0.00033,0.00041,-3.9,-5.4,-3.9,-5,10.1002/solr.202000289
1.04,20.46,0.8,16.93,0,1,0,1,0,3,0,1.5,-0.6,0.4,0,1,0.00033,0.000588,-3.9,-5.4,-4.5,-5,10.1002/solr.202000289
0.446,21.85,0.684,6.67,0,0,1,0,1,3,0,1.36,-0.68,-0.26,1,0,0.0012,2.93E-05,-3.52,-4.88,-4.2,-5.14,10.1021/jacs.7b10898
0.437,20.76,0.574,5.2,0,0,1,0,1,3,0,1.36,-0.68,-0.34,1,0,0.000465,2.93E-05,-3.52,-4.88,-4.2,-5.22,10.1021/jacs.7b10898
0.384,21.12,0.432,3.51,0,0,1,0,1,3,0,1.36,-0.68,-0.38,1,0,0.0002,2.93E-05,-3.52,-4.88,-4.2,-5.26,10.1021/jacs.7b10898
1.13,22.4,0.7341,18.67,0,0.15,0.85,1,0,2.55,0.45,1.65,-0.5,0.43,1,0,0.000465,0.000193,-3.9,-5.65,-4.4,-5.22,10.1016/j.solener.2019.11.004
1.15,22.95,0.7595,20.03,0,0.15,0.85,1,0,2.55,0.45,1.65,-0.42,0.43,1,0,0.000465,0.000272,-3.9,-5.65,-4.32,-5.22,10.1016/j.solener.2019.11.004
1.089,24.53,0.757,20.44,0.05,0.1,0.85,1,0,2.7,0.3,1.6,-0.2,0.38,1,0,0.00021,2.93E-05,-4,-5.6,-4.2,-5.22,10.1016/j.isci.2019.04.031
1.081,24.48,0.788,21.03,0.05,0.1,0.85,1,0,2.7,0.3,1.6,-0.2,0.26,1,0,0.00067,2.93E-05,-4,-5.6,-4.2,-5.34,10.1016/j.isci.2019.04.031
1.033,21.35,0.7386,16.29,0,1,0,1,0,3,0,1.5,-0.27,0.08,1,0,0.000153,2.93E-05,-3.93,-5.43,-4.2,-5.35,10.1016/j.solmat.2020.110534
0.955,20.86,0.7605,15.15,0,1,0,1,0,3,0,1.5,-0.27,0.08,1,0,8.78E-05,2.93E-05,-3.93,-5.43,-4.2,-5.35,10.1016/j.solmat.2020.110534
0.95,20.39,0.7558,14.64,0,1,0,1,0,3,0,1.5,-0.27,0.28,1,0,5.81E-05,2.93E-05,-3.93,-5.43,-4.2,-5.15,10.1016/j.solmat.2020.110534
1.034,20.14,0.6606,13.73,0,1,0,1,0,3,0,1.5,-0.27,0.04,1,0,3.97E-05,2.93E-05,-3.93,-5.43,-4.2,-5.39,10.1016/j.solmat.2020.110534
1,21.97,0.715,16.6,0,1,0,1,0,3,0,1.5,-0.07,0.35,1,0,0.000145,2.93E-05,-3.93,-5.46,-4,-5.11,10.1002/aelm.201900884
1.02,22.63,0.761,17.54,0,1,0,1,0,3,0,1.5,-0.07,-0.01,1,0,0.00029,2.93E-05,-3.93,-5.46,-4,-5.47,10.1002/aelm.201900884
1.1,21.61,0.76,18.04,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.08,0.41,1,0,1.72E-05,2.93E-05,-3.92,-5.65,-4,-5.24, 10.1039/c8tc04191a
1.11,22.02,0.75,18.5,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.08,0.58,1,0,0.000465,2.93E-05,-3.92,-5.65,-4,-5.07, 10.1039/c8tc04191a
1.13,23.87,0.76,20.6,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.1,0.39,1,0,0.000432,2.93E-05,-3.9,-5.5,-4,-5.11,10.1016/j.nanoen.2017.09.035
1.145,23.12,0.64,16.9,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.1,0.32,1,0,0.000134,2.93E-05,-3.9,-5.5,-4,-5.18,10.1016/j.nanoen.2017.09.035
1.132,23.59,0.75,20.1,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.1,0.34,1,0,7.66E-05,2.93E-05,-3.9,-5.5,-4,-5.16,10.1016/j.nanoen.2017.09.035
1.044,21.66,0.81,18.32,0,0.7,0.3,1,0,3,0,1.57,-0.27,0.29,1,0,0.000165,0.000992,-3.83,-5.4,-4.1,-5.11,10.1016/j.nanoen.2017.08.016
1.113,21.3,0.771,18.28,0,0.7,0.3,1,0,3,0,1.57,-0.27,0.26,1,0,0.000465,0.000992,-3.83,-5.4,-4.1,-5.14,10.1016/j.nanoen.2017.08.016
1.082,22.46,0.7,17.01,0,1,0,1,0,3,0,1.5,-0.5,0.18,1,0,0.000465,0.000992,-3.9,-5.4,-4.4,-5.22,10.1021/acsami.8b15665
1.06,23.26,0.64,15.92,0,1,0,1,0,3,0,1.5,-0.3,0.18,1,0,0.000465,0.00065,-3.9,-5.4,-4.2,-5.22,10.1021/acsami.7b00726
1.09,22.7,0.77,19.1,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.28,0.45,1,0,8.70E-05,2.93E-05,-3.92,-5.65,-4.2,-5.2,10.1016/j.jpowsour.2019.03.050
1.07,22.4,0.78,18.7,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.28,0.47,1,0,4.80E-05,2.93E-05,-3.92,-5.65,-4.2,-5.18,10.1016/j.jpowsour.2019.03.050
0.99,19.8,0.75,14.7,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.28,0.49,1,0,1.20E-05,2.93E-05,-3.92,-5.65,-4.2,-5.16,10.1016/j.jpowsour.2019.03.050
1.11,23.47,0.74,18.78,0,1,0,1,0,3,0,1.5,-0.47,0.11,1,0,0.004243,0.000992,-3.93,-5.43,-4.4,-5.32,10.1039/c8ta02071j
1.09,22.21,0.73,18.05,0,1,0,1,0,3,0,1.5,-0.47,0.31,1,0,0.005101,0.000992,-3.93,-5.43,-4.4,-5.12,10.1039/c8ta02071j
1.16,15.18,0.738,12.96,1,0,0,1,0,2,1,1.92,-0.32,0.54,1,0,0.000191,2.93E-05,-3.57,-5.48,-3.89,-4.94,10.1002/cssc.202001629
1.08,20.4,0.736,16.1,0,1,0,1,0,3,0,1.5,-0.29,0.23,1,0,0.000465,0.00065,-3.93,-5.43,-4.22,-5.2,10.1002/cssc.201600860
1.024,20.81,0.732,15.59,0,1,0,1,0,3,0,1.5,-0.3,0.06,1,0,8.30E-05,2.93E-05,-3.9,-5.4,-4.2,-5.34,10.1002/aenm.201801248
1.07,20.5,0.752,16.5,0,1,0,1,0,3,0,1.5,-0.3,0.18,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.2,-5.22,10.1002/aenm.201801248
0.453,21.63,0.6292,6.15,0,0,1,0,1,3,0,1.4,-0.6,0.1,0,1,0.00033,0.0004,-3.6,-5,-4.2,-4.9,10.1016/j.optmat.2022.112511
1.122,23.85,0.782,20.92,0.05,0.1615,0.7885,1,0,2.49,0.51,1.59,-0.21,0.3,1,0,0.000465,0.00121,-3.93,-5.52,-4.14,-5.22,10.1016/j.jallcom.2020.156032
1.098,22.7,0.765,19.12,0.05,0.1615,0.7885,1,0,2.49,0.51,1.59,-0.47,0.3,1,0,0.000465,0.00361,-3.93,-5.52,-4.4,-5.22,10.1016/j.jallcom.2020.156032
1.11,21.4,0.796,18.9,0,1,0,1,0,3,0,1.5,-0.2,0.3,0,1,0.00033,0.0004,-3.9,-5.4,-4.1,-5.1,10.1039/C7TA06900F
1.08,22.8,0.796,19.6,0,0,1,1,0,3,0,1.47,0.1,0.57,0,1,0.00033,0.0004,-4.2,-5.67,-4.1,-5.1,10.1039/C7TA06900F
0.521,24.12,0.7702,9.06,0.1,0,0.9,0,1,3,0,1.45,-0.45,0.06,1,0,0.0012,2.93E-05,-3.81,-5.26,-4.26,-5.2,10.1021/acsenergylett.1c01575
0.479,21.86,0.6893,7.21,0.1,0,0.9,0,1,3,0,1.46,-0.38,0.14,1,0,0.0012,2.93E-05,-3.88,-5.34,-4.26,-5.2,10.1021/acsenergylett.1c01575
1.1,20.61,0.78,17.29,0.1,0.54,0.36,1,0,2.79,0.21,1.5,-0.3,0.18,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.2,-5.22,10.1016/j.solener.2019.12.031
1.097,22.59,0.758,18.77,0.1,0.13,0.74,1,0,2.49,0.51,1.6,0.1,0.48,1,0,0.000465,2.93E-05,-4.1,-5.7,-4,-5.22,10.1002/aenm.201800681
1.07,21.63,0.71,16.43,0,1,0,1,0,3,0,1.5,-0.6,0.2,1,0,0.000465,0.000992,-3.9,-5.4,-4.5,-5.2,10.1002/advs.201700031
1,20.86,0.77,16.11,0,1,0,1,0,3,0,1.6,-0.36,0.18,1,0,0.000465,0.000992,-3.8,-5.4,-4.16,-5.22,10.1016/j.cplett.2017.12.012
1.09,24.02,0.749,19.55,0,0.15,0.85,1,0,3,0,1.51,-0.11,0.38,1,0,0.000465,2.93E-05,-4.09,-5.6,-4.2,-5.22,10.1002/solr.201900072
1.079,24.4,0.722,19.01,0.05,0.1425,0.8075,1,0,2.55,0.45,1.62,-0.55,0.2,1,0,0.000465,0.000992,-3.8,-5.42,-4.35,-5.22,10.1002/adma.201805944
1.05,22.2,0.74,17.25,0,1,0,1,0,3,0,1.5,-0.27,0.2,1,0,0.000465,0.000992,-3.85,-5.4,-4.12,-5.2,10.1021/acsami.9b06873
1.17,22.82,0.77,20.56,0.05,0.1425,0.8075,1,0,2.55,0.45,1.6,-0.4,0.21,1,0,0.00073,2.93E-05,-3.8,-5.4,-4.2,-5.19,10.1039/c9ta03351c
1.08,22.55,0.75,18.27,0.05,0.1615,0.7885,1,0,2.49,0.51,1.7,0,0.47,1,0,0.000111,0.0004,-3.9,-5.6,-3.9,-5.13,10.1002/ange.201909117
1.12,23.3,0.78,20.35,0.05,0.1615,0.7885,1,0,2.49,0.51,1.7,0,0.45,1,0,0.000423,0.0004,-3.9,-5.6,-3.9,-5.15,10.1002/ange.201909117
1.09,23.05,0.74,18.59,0.05,0.1615,0.7885,1,0,2.49,0.51,1.7,0,0.54,1,0,0.000371,0.0004,-3.9,-5.6,-3.9,-5.06,10.1002/ange.201909117
1.1,23.16,0.77,19.62,0.05,0.1615,0.7885,1,0,2.49,0.51,1.7,0,0.38,1,0,0.000465,0.0004,-3.9,-5.6,-3.9,-5.22,10.1002/ange.201909117
1.432,9.35,0.716,9.53,1,0,0,1,0,0,3,2.3,-0.9,0.38,1,0,0.000465,2.93E-05,-3.3,-5.6,-4.2,-5.22,10.1016/j.nanoen.2019.104015
1.12,15.78,0.75,13.34,1,0,0,1,0,2,1,1.9,-0.58,0.62,1,0,0.000465,0.000992,-3.92,-5.82,-4.5,-5.2,10.1039/c9ra06363c
1.17,15.13,0.7389,12.99,1,0,0,1,0,2,1,1.9,-0.6,0.3,1,0,0.000465,0.000992,-3.6,-5.5,-4.2,-5.2,10.1021/acsami.0c09571 
0.69,30.05,0.78,16.14,0.025,0.5,0.475,0.5,0.5,3,0,1.24,0.16,0,0,1,0.00033,0.0004,-4.16,-5.4,-4,-5.4,10.1002/aenm.202101069
1.044,21.66,0.81,18.32,0,0.7,0.3,1,0,3,0,1.57,-0.27,0.23,1,0,0.00024,0.000992,-3.83,-5.4,-4.1,-5.17,10.1016/j.nanoen.2018.07.027
1.072,22.3,0.807,19.29,0,0.7,0.3,1,0,3,0,1.57,-0.27,0.212,1,0,0.0002,0.000992,-3.83,-5.4,-4.1,-5.188,10.1016/j.nanoen.2018.07.027
1.082,22.51,0.815,19.85,0,0.7,0.3,1,0,3,0,1.57,-0.27,0.201,1,0,0.0002,0.000992,-3.83,-5.4,-4.1,-5.199,10.1016/j.nanoen.2018.07.027
